country,director,genre,rating,title,year
Россия,Никита Михалков,документальный фильм,,55,2007
Канада,Манон Брайан,комедия,6.6,2 секунды,1998
Бразилия,"[d], Марко Фиорито","порнофильм, ЛГБТ-фильм, [d]",4.2,2 Girls 1 Cup,"2007, 5 января"
Индия,Раджкумар Хирани,"драма, комедия",8.4,3 идиота,2009
США,Нил Бёргер,комедийная драма,7.0,1+1: Голливудская история,
"Австралия, США","Пол Карри, рус.",триллер,5.7,2:22,2017
США,Бенни Бум,"байопик, боевик, драма",5.9,2pac: Легенда,2017
Австралия,"[d], [1], Мулари К. Теллури, [2], […]","[2], [1], драматический фильм",6.8,2:37,2006
Россия,Сергей Соловьёв,драма,4.7,2-Асса-2,2008
"Франция, Великобритания",Хьюго Желен,"Музыка к фильму, семейный, драма",7.3,2+1,2016
США,"Шон Уолтман, Чайна",порнофильм,2.6,1 Night in China,2004
Франция,Жан-Луи Гийерму,комедия,3.8,2 дурня в снегу,1977
"Франция, Германия",Жюли Дельпи,"драма, мелодрама, комедия",6.7,2 дня в Париже,2007
США,Лейф Тильден,"мелодрама, драма",6.3,1 миля до тебя,2017
Австралия,Стив МакКаллум,криминальный,5.3,1%,2017
Великобритания,"Эндрю Хэйг, [en]",драма,7.1,45 лет,2015
США,Гари Леннон,драма,5.5,45-й калибр,2006
"США, [5]","Скотт Бек, Брайан Вудс","остросюжетный боевик, научно-фантастический",5.4,65,
США,Дж. Стюарт Блэктон,драма,7.7,Автомобильные воры,
"Нью-Йорк, Франция, Сибирь, Германия",Жорж Мельес,фантастика,5.5,Автопробег «Париж — Нью-Йорк»,1908
СССР,Ролан Быков,"сказка, музыкальный фильм, комедия",6.7,"Автомобиль, скрипка и собака Клякса",1974
"Испания, Мексика",Мануэль Мартин Куенка,драма ,6.5,Автор,2017
США,"[d], Эллиот Силверштейн","фильм-триллер, фильм-тайна, фильм ужасов",6.1,Автомобиль,"1979, 28 сентября, 15 сентября, 4 мая, 1980, 23 декабря, 13 мая, 23 ноября, [1], 10 октября, 22 декабря, 2 июня, 22 июня, 1978, 10 ноября, 1977, 13 августа, 19 января"
США,Сэндэр Стерн,"триллер, ужасы",4.4,Амитивилль 4: Зло спасается,
США,Джеймс Фоули,драма,7.7,Американцы,1992
"США, Мексика",Дамиано Дамиани,"триллер, ужасы",5.6,Амитивилль 2: Одержимость,1982
Украина,Борис Квашнёв,"триллер, боевик, детективный фильм",5.8,Америкэн бой,1992
"США, Мексика",Ричард Флейшер,"триллер, ужасы",4.2,Амитивилль 3-D,1983
США,"[2], [3], […], Стивен Спилберг","историческая, драма",7.3,Амистад,1997
"Франция, Румыния, Германия",Коста-Гаврас,Драма,7.2,Аминь,2002
США,Морган Дж. Фриман,"Чёрная комедия, [3], [2], слэшер, [1]",3.7,Американский психопат 2,2002
"США, Канада",Мэри Хэррон,"триллер, [1], криминал, чёрная комедия",7.6,Американский психопат,2000
ФРГ,Райнер Вернер Фасбиндер,драма,6.5,Американский солдат,1970
США,Сэм Ферстенберг,боевик,4.9,Американский самурай,1992
США,Фрэнк Капра,драматический фильм,7.4,Американское безумие,1932
США,"[d], Корд Джефферсон",драматический фильм,7.9,Американское чтиво,"8 сентября, 2023, 3 ноября"
США,Томми О’Хейвер,"детектив, драма",7.2,Американское преступление,
США,Мартин Белл,драма,6.7,Американское сердце,1992
"Великобритания, [4], США",Джон Лэндис,комедийный фильм ужасов,7.5,Американский оборотень в Лондоне,1981
США,Роб Райнер,"драма, комедия",6.8,Американский президент,"1995, [2]"
США,"Брэндон Трост, [en]",кинокомедия,5.7,Американский огурчик,2020
Франция,Пьер Коральник,музыкальный фильм,6.8,Анна,1967
США,Джесси Дилан,кинокомедия,6.3,Американский пирог: Свадьба,2003
США,Бобби Джин Леонард,боевик,3.0,Американский ниндзя 5,1993
США,Седрик Сандстром,боевик,3.9,Американский ниндзя 4: Разрушение,1991
США,Седрик Сандстром,боевик,3.7,Американский ниндзя 3: Кровавая охота,1989
"США, Франция, Великобритания, Люксембург, [4], Нидерланды","ru, Энтони Уоллер",комедийный фильм ужасов,5.1,Американский оборотень в Париже,1997
США,Тони Рэндл,фильм ужасов,4.7,Амитивилль 1992: Вопрос времени,1992
США,"Пол Вайц, Крис Вайц",комедия,7.0,Американский пирог,1999
США,Джеймс Роджерс,Комедия,6.4,Американский пирог 2,2001
Италия,Джо Д'Амато,фильм ужасов,5.3,Антропофаг,1980
Франция,Жак Беккер,комедия,7.4,Антуан и Антуанетта,1947
США,Стив Рэш,"романтическая комедия, [6], комедия, [5], подростковый фильм, комедийный фильм",5.0,Американский пирог представляет: Музыкальный лагерь,2005
Великобритания,Чарлтон Хестон,мелодрама,5.8,«Антоний и Клеопатра»,1972
Франция,"Мишель Карре, Альбер Капеллани",трагедия,,Аталия,1910
Индия,"Рам Гопал Варма, [1]","триллер, исторический, криминальный, докудрама",6.9,Атаки 26/11,2013
СССР,"Ольга Улицкая, Борис Рыцарев, Михаил Калик","киноповесть, драма",6.1,Атаман Кодр,
"Белоруссия, Россия",Василий Чигинский,военный,7.8,Атака мертвецов: Осовец,2018
"Австралия, США, Германия",Эллори Элкайем,"ужасы, чёрная комедия",5.5,Атака пауков,"2002, 15 августа, [1]"
США,Майкл Кёртис,мелодрама,7.0,Атака лёгкой кавалерии,1936
Франция,Жан Виго,мелодрама,7.7,Аталанта,1934
Великобритания,Тони Ричардсон,"исторический фильм, драматический фильм, военный фильм, [1]",6.6,Атака лёгкой кавалерии,1968
Япония,Синдзи Хигути,"фантастика, драма",5.0,Атака титанов,2015
Израиль,Рути Прибар,драма,6.7,Ася,2020
СССР,Игорь Николаев,кинодрама,6.2,Атака,1986
Япония,Идзуру Нарусима,"военный, биография, драма",6.7,Атака на Пёрл-Харбор,2011
"ГДР, СССР",Иосиф Хейфиц,мелодрама,6.7,Ася,1977
США,Роджер Корман,ужасы,4.9,Атака крабов-монстров,1956
Япония,Исиро Хонда,"семейный, приключения, детектив, фантастика",3.9,Атака Годзиллы,"Мотра 2, Годзилла против Хэдоры, Мотра 3, вселенная монстров, Мотра, Догора, [en], Битва в открытом космосе, Годзилла: Пожиратель планет, Годзилла, Zone Fighter, Годзилла: Город на грани битвы, Остров Годзиллы"
США,Ллойд Кауфман,"хоррор, мюзикл, комедия",6.0,Атака куриных зомби,2006
Италия,Бруно Маттеи,"боевик, военный фильм, [1]",5.2,Атака Коммандос,
США,Джеймс Сирл-Доули,драматический фильм,6.2,Атака лёгкой кавалерии,1912
